1,2,3,4,5,6,7,8,9,1
วันที่,จำนวนบิล,มูลค่า,คงเหลือ,จำนวนบิล,มูลค่า,ผลต่าง,SIGNATURE,หมายเหตุ,
1/7/2025, 26 ," 107,970 "," 107,970 ", 26 ," 107,970 ",  -   ,เหน่ง,,
2/7/2025, 31 ," 205,400 "," 205,400 ", 31 ," 205,400 ",  -   ,เกษ,,
3/7/2025, 21 ," 156,920 "," 156,920 ", 21 ," 156,920 ",  -   ,เหน่ง,,
4/7/2025, 24 ," 113,870 "," 113,870 ", 24 ," 113,870 ",  -   ,เหน่ง,,
5/7/2025, 24 ," 139,520 "," 139,520 ", 24 ," 139,520 ",  -   ,เกษ,,
6/7/2025, 25 ," 213,490 "," 213,490 ", 25 ," 213,490 ",  -   ,เกษ,,
7/7/2025, 27 ," 192,850 "," 192,850 ", 27 ," 192,850 ",  -   ,เหน่ง,"ยอดใบยืม 103,500 ไม่รวมในยอดขาย",
8/7/2025, 23 ," 176,470 "," 176,470 ", 23 ," 176,470 ",  -   ,เกษ,,
9/7/2025, 19 ," 125,200 "," 125,200 ", 19 ," 125,200 ",  -   ,เหน่ง,,
10/7/2025, 21 ," 144,270 "," 144,270 ", 21 ," 144,270 ",  -   ,เหน่ง,,
11/7/2025, 17 ," 87,820 "," 87,820 ", 17 ," 87,820 ",  -   ,เกษ,,
12/7/2025, 16 ," 61,040 "," 61,040 ", 16 ," 74,440 ","- 13,400 ",เหน่ง,"ผลต่าง 13,400  บาท  บิลวันที่  11/7/68 STHONLIN2504001283  ",
13/7/2025, 17 ," 60,155 "," 60,155 ", 17 ," 60,155 ",  -   ,เกษ,,
14/7/2025, 27 ," 82,420 "," 82,420 ", 27 ," 82,420 ",  -   ,เกษ,,
15/7/2025, 21 ," 206,470 "," 206,470 ", 21 ," 206,470 ",  -   ,เกษ,,
16/7/2025, 16 ," 165,380 "," 165,380 ", 16 ," 165,380 ",  -   ,เกษ,,
17/7/2025, 22 ," 113,840 "," 113,840 ", 22 ," 113,840 ",  -   , เหน่ง,,
18/7/2025, 22 ," 106,530 "," 106,530 ", 22 ," 106,530 ",  -   , เหน่ง,,
19/7/2025, 13 ," 98,980 "," 98,980 ", 13 ," 98,980 ",  -   , เหน่ง,,
20/7/2025, 23 ," 96,830 "," 96,830 ", 23 ," 96,830 ",  -   ,เกษ,,
21/7/2025, 31 ," 133,675 "," 133,675 ", 31 ," 133,675 ",  -   , เหน่ง,,
22/7/2025, 15 ," 97,330 "," 97,330 ", 15 ," 97,330 ",  -   , เกษ,,
23/7/2025, 19 ," 71,850 "," 71,850 ", 19 ," 71,850 ",  -   , เหน่ง,5340  แลกAPR easy และแลกสินค้า ABB Online,
24/7/2025, 14 ," 68,100 "," 68,100 ", 14 ," 68,100 ",  -   , เหน่ง,,
25/7/2025, 20 ," 208,860 "," 208,860 ", 20 ," 208,860 ",  -   , เกษ,,
26/7/2025, 23 ," 83,525 "," 83,525 ", 23 ," 83,525 ",  -   , เหน่ง,740  แลกAPR easy และแลกสินค้า ABB Online,
27/7/2025, 17 ," 87,395 "," 87,395 ", 17 ," 87,395 ",  -   , เกษ,,
28/7/2025,,,,,,,,,
29/7/2025, 36 ," 208,130 "," 208,130 ", 36 ," 208,130 ",  -   ,เกษ,,
30/7/2025, 26 ," 174,370 "," 174,370 ", 26 ," 174,370 ",  -   ,เกษ,,
31/7/2025, 38 ," 216,660 "," 216,660 ", 38 ," 216,660 ",  -   , เหน่ง,แลกสินค้า ABB Online 420,
1/8/2025, 13 ," 40,350 "," 40,350 ", 13 ," 40,350 ",  -   ,เกษ, รับรางวัลสินค้า  ABB Online   420 บาท ,
2/8/2025, 18 ," 157,970 "," 157,970 ", 18 ," 157,970 ",  -   ,เหน่ง,,
3/8/2025, 16 ," 66,715 "," 66,715 ", 16 ," 66,715 ",  -   ,เกษ,,
4/8/2025, 25 ," 103,300 "," 103,300 ", 25 ," 103,300 ",  -   ,เกษ,,
5/8/2025, 18 ," 102,290 "," 102,290 ", 18 ," 102,290 ",  -   ,เกษ,,
6/8/2025, 31 ," 145,035 "," 145,035 ", 31 ," 145,035 ",  -   ,เกษ,,
7/8/2025,,                 Staff   Outing,                 Staff   Outing,,,  -   ,,,
8/8/2025,,                 Staff   Outing,                 Staff   Outing,,,  -   ,,,
9/8/2025, 43 ," 223,420 "," 223,420 ", 43 ," 233,420 ",  -   ,เหน่ง,,
10/8/2025, 29 ," 70,880 "," 70,880 ", 29 ," 70,880 ",  -   ,เหน่ง,,
11/8/2025, 15 ," 249,400 "," 249,400 ", 14 ," 149,400 ",  -   ,เหน่ง,,
12/8/2025,,                วันแม่แห่งชาติ,                วันแม่แห่งชาติ,,,  -   ,,,
13/8/2025, 25 ," 164,220 "," 164,220 ", 25 ," 164,220 ",  -   ,เกษ,,
14/8/2025, 14 ," 47,480 "," 47,480 ", 14 ," 47,480 ",  -   ,เหน่ง,"แลกARP Easy จำนวน 4500บาท รับจริง42,980บาท",
15/8/2025, 17 ," 111,800 "," 111,800 ", 17 ," 111,800 ",  -   ,เหน่ง,,
16/8/2025, 19 ," 112,600 "," 112,600 ", 19 ," 112,600 ",  -   ,เหน่ง,,
17/8/2025, 17 ," 56,240 "," 56,240 ", 17 ," 56,240 ",  -   , เกษ,"แลกรางวัล ABB ONLINE จำนวน 420 บาท รับจริง 55,820",
18/8/2025, 20 ," 106,300 "," 106,300 ", 20 ," 106,300 ",  -   ,เหน่ง,,
19/8/2025, 23 ," 82,640 "," 82,640 ", 23 ," 82,640 ",  -   , เกษ,,
20/8/2025, 19 ," 85,300 "," 85,300 ", 19 ," 85,300 ",  -   ,เหน่ง,,
